initial: all - diverse_all
[2022-04-08 06:05:01.439360]Total energy: 16889162.314544342
[2022-04-08 06:06:20.368357]Total energy: 16899688.01807877
[2022-04-08 06:07:37.364646]Total energy: 16846032.809014674
[2022-04-08 06:08:56.728009]Total energy: 16862028.446932267
[2022-04-08 06:10:14.725828]Total energy: 16884151.2638816
[2022-04-08 06:11:39.086239]Total energy: 16886263.53153941
[2022-04-08 06:12:56.840295]Total energy: 16849111.654016547
[2022-04-08 06:14:14.927030]Total energy: 16864230.214246165
[2022-04-08 06:15:51.648266]Total energy: 16868421.08275932
[2022-04-08 06:17:11.338253]Total energy: 16839830.370370913
[2022-04-08 06:18:30.730741]Total energy: 16867835.399928767
[2022-04-08 06:19:52.489216]Total energy: 16889682.3649097
[2022-04-08 06:21:21.845001]Total energy: 16859476.09732776
[2022-04-08 06:22:45.780278]Total energy: 16870275.334581774
[2022-04-08 06:24:55.714682]Total energy: 16878132.350014202
[2022-04-08 06:26:17.237746]Total energy: 16900202.961503346
[2022-04-08 06:27:36.776518]Total energy: 16872450.679993194
[2022-04-08 06:28:56.309417]Total energy: 16858474.49394329
[2022-04-08 06:30:16.452649]Total energy: 16874028.81394825
[2022-04-08 06:31:36.101387]Total energy: 16856155.07487958
[2022-04-08 06:32:56.194000]Total energy: 16861583.63612037
[2022-04-08 06:34:14.784228]Total energy: 16865615.77174981
[2022-04-08 06:35:36.859712]Total energy: 16874181.06865041
[2022-04-08 06:36:56.333218]Total energy: 16886451.578693353
[2022-04-08 06:38:15.466517]Total energy: 16877952.59649555
[2022-04-08 06:39:33.489821]Total energy: 16885124.13680631
[2022-04-08 06:40:52.757070]Total energy: 16898009.915129617
[2022-04-08 06:42:12.404216]Total energy: 16834005.62470096
[2022-04-08 06:43:31.574860]Total energy: 16845255.286311164
[2022-04-08 06:44:50.610703]Total energy: 16842075.4378963
[2022-04-08 06:46:07.960919]Total energy: 16834266.47494578
[2022-04-08 06:47:26.085288]Total energy: 16841926.261622567
[2022-04-08 06:48:45.669958]Total energy: 16862376.62881467
[2022-04-08 06:50:03.435346]Total energy: 16831960.868193317
[2022-04-08 06:51:32.984391]Total energy: 16856184.06069512
