initial: all - diverse_no_blind_all
[2022-04-10 00:47:09.647026]Total energy: 16840623.305692475
[2022-04-10 00:48:27.890005]Total energy: 16823231.034879785
[2022-04-10 00:49:47.381500]Total energy: 16859413.35995075
[2022-04-10 00:51:33.396576]Total energy: 16846253.710526098
[2022-04-10 00:53:13.733405]Total energy: 16816403.01079011
[2022-04-10 00:54:46.905077]Total energy: 16863904.6839974
[2022-04-10 00:56:18.850589]Total energy: 16884768.327821836
[2022-04-10 00:57:50.082455]Total energy: 16859526.9792246
[2022-04-10 00:59:09.963453]Total energy: 16817267.102371868
[2022-04-10 01:00:28.693842]Total energy: 16880532.741944343
[2022-04-10 01:01:45.174893]Total energy: 16867884.602292113
[2022-04-10 01:03:00.998878]Total energy: 16800986.54070968
[2022-04-10 01:04:20.420073]Total energy: 16837026.525949266
[2022-04-10 01:05:41.621941]Total energy: 16844529.981024027
[2022-04-10 01:07:02.404719]Total energy: 16877864.55897008
[2022-04-10 01:08:21.597351]Total energy: 16831572.647046972
[2022-04-10 01:09:41.600124]Total energy: 16840641.02820753
[2022-04-10 01:11:24.661016]Total energy: 16814890.116105508
[2022-04-10 01:13:12.534896]Total energy: 16823538.874525838
[2022-04-10 01:14:45.001580]Total energy: 16816626.436957724
[2022-04-10 01:16:12.797854]Total energy: 16805596.40088799
[2022-04-10 01:17:32.891563]Total energy: 16784679.279729538
[2022-04-10 01:18:50.251281]Total energy: 16862341.24583767
[2022-04-10 01:20:06.404450]Total energy: 16871370.10960028
[2022-04-10 01:21:23.293149]Total energy: 16827132.287371278
[2022-04-10 01:22:42.645051]Total energy: 16833048.49957488
[2022-04-10 01:24:04.188440]Total energy: 16813328.086083822
[2022-04-10 01:25:25.905555]Total energy: 16802028.991542954
[2022-04-10 01:26:46.662027]Total energy: 16835177.851634778
[2022-04-10 01:28:10.291785]Total energy: 16818944.638432913
[2022-04-10 01:29:32.351736]Total energy: 16831834.795251966
[2022-04-10 01:31:10.760080]Total energy: 16814447.13768264
[2022-04-10 01:32:43.808699]Total energy: 16829532.59235573
[2022-04-10 01:34:08.807740]Total energy: 16843207.319550015
[2022-04-10 01:35:24.831198]Total energy: 16787544.838423062
[2022-04-10 01:36:43.993639]Total energy: 16837817.63377143
[2022-04-10 01:38:05.810021]Total energy: 16811783.829148103
[2022-04-10 01:39:35.587683]Total energy: 16806245.931252543
[2022-04-10 01:41:24.955279]Total energy: 16794498.52496974
[2022-04-10 01:43:09.190354]Total energy: 16807500.16985358
[2022-04-10 01:44:30.819490]Total energy: 16854993.908719912
[2022-04-10 01:45:51.466851]Total energy: 16846470.693328366
[2022-04-10 01:47:16.642190]Total energy: 16816608.72643104
[2022-04-10 01:48:40.607492]Total energy: 16834852.283477385
[2022-04-10 01:50:01.075449]Total energy: 16832501.032459266
[2022-04-10 01:51:19.970145]Total energy: 16820224.30949195
[2022-04-10 01:52:41.276023]Total energy: 16865824.428605985
[2022-04-10 01:54:02.310187]Total energy: 16825825.84308176
[2022-04-10 01:55:23.086776]Total energy: 16809049.525382347
[2022-04-10 01:56:46.745936]Total energy: 16828471.854362637
[2022-04-10 01:58:06.082654]Total energy: 16854854.21533489
[2022-04-10 01:59:27.826682]Total energy: 16805167.640207153
[2022-04-10 02:01:05.804487]Total energy: 16797017.841885284
[2022-04-10 02:02:48.636905]Total energy: 16842377.298000313
[2022-04-10 02:04:23.668241]Total energy: 16846567.834143434
[2022-04-10 02:06:05.312361]Total energy: 16810740.446640912
[2022-04-10 02:07:30.536608]Total energy: 16833426.30073936
[2022-04-10 02:08:51.171166]Total energy: 16817184.51332345
[2022-04-10 02:10:16.573695]Total energy: 16780809.629645936
[2022-04-10 02:11:39.088960]Total energy: 16819364.32280354
[2022-04-10 02:12:59.162139]Total energy: 16854242.08864051
[2022-04-10 02:14:23.065804]Total energy: 16881270.712179787
[2022-04-10 02:15:44.141503]Total energy: 16825293.56419015
[2022-04-10 02:17:04.323390]Total energy: 16816476.9974186
[2022-04-10 02:18:29.715014]Total energy: 16826273.03044891
